delivery_ID,order_ID,scheduled_date,actual_delivery_date,status
207,908,2025-10-17 02:56:25,2025-10-19 02:56:25,Delivered
208,338,2025-10-26 02:56:25,2025-10-26 02:56:25,Cancelled
209,861,2025-10-26 02:56:25,2025-10-30 02:56:25,Delivered
210,784,2025-10-30 02:56:25,2025-11-01 02:56:25,Delivered
211,7,2025-11-04 02:56:25,2025-11-07 02:56:25,Delivered
212,93,2025-10-03 02:56:25,,Pending
213,720,2025-10-02 02:56:25,2025-10-03 02:56:25,Shipped
214,922,2025-10-08 02:56:25,2025-10-11 02:56:25,Shipped
215,524,2025-10-23 02:56:25,,Pending
216,49,2025-10-11 02:56:25,2025-10-11 02:56:25,Cancelled
217,493,2025-09-26 02:56:25,2025-09-26 02:56:25,Cancelled
218,261,2025-09-24 02:56:25,,Pending
219,277,2025-09-16 02:56:25,2025-09-16 02:56:25,Cancelled
220,135,2025-10-31 02:56:25,,Pending
221,82,2025-09-23 02:56:25,2025-09-23 02:56:25,Cancelled
222,376,2025-10-18 02:56:25,,Pending
223,312,2025-10-11 02:56:25,2025-10-15 02:56:25,Delivered
224,383,2025-10-17 02:56:25,2025-10-19 02:56:25,Shipped
225,341,2025-10-19 02:56:25,2025-10-23 02:56:25,Delivered
226,659,2025-10-03 02:56:25,,Pending
227,121,2025-09-17 02:56:25,2025-09-21 02:56:25,Delivered
228,85,2025-10-09 02:56:25,2025-10-09 02:56:25,Cancelled
229,715,2025-10-16 02:56:25,,Pending
230,150,2025-10-19 02:56:25,,Pending
231,611,2025-10-02 02:56:25,2025-10-02 02:56:25,Cancelled
232,746,2025-09-10 02:56:25,2025-09-10 02:56:25,Cancelled
233,558,2025-09-19 02:56:25,,Pending
234,615,2025-09-07 02:56:25,2025-09-07 02:56:25,Cancelled
235,426,2025-09-30 02:56:25,2025-10-02 02:56:25,Shipped
236,782,2025-09-12 02:56:25,2025-09-16 02:56:25,Delivered
237,925,2025-10-25 02:56:25,2025-10-25 02:56:25,Cancelled
238,151,2025-10-30 02:56:25,,Pending
239,111,2025-10-28 02:56:25,,Pending
240,945,2025-10-08 02:56:25,,Pending
241,589,2025-09-29 02:56:25,2025-10-02 02:56:25,Shipped
242,454,2025-09-19 02:56:25,,Pending
243,533,2025-09-26 02:56:25,2025-09-27 02:56:25,Shipped
244,926,2025-09-17 02:56:25,2025-09-18 02:56:25,Shipped
245,841,2025-11-02 02:56:25,2025-11-02 02:56:25,Cancelled
246,719,2025-10-08 02:56:25,2025-10-10 02:56:25,Shipped
247,806,2025-10-04 02:56:25,2025-10-06 02:56:25,Delivered
248,839,2025-10-13 02:56:25,,Pending
249,435,2025-09-24 02:56:25,2025-09-25 02:56:25,Delivered
250,380,2025-10-28 02:56:25,,Pending
251,912,2025-10-02 02:56:25,2025-10-02 02:56:25,Cancelled
252,367,2025-09-12 02:56:25,2025-09-13 02:56:25,Shipped
253,491,2025-11-06 02:56:25,2025-11-07 02:56:25,Shipped
254,656,2025-10-20 02:56:25,,Pending
255,114,2025-10-02 02:56:25,,Pending
256,90,2025-10-12 02:56:25,2025-10-12 02:56:25,Cancelled
257,32,2025-10-18 02:56:25,,Pending
258,36,2025-09-25 02:56:25,2025-09-26 02:56:25,Delivered
259,421,2025-09-16 02:56:25,2025-09-16 02:56:25,Cancelled
260,419,2025-09-05 02:56:25,2025-09-05 02:56:25,Cancelled
261,311,2025-09-14 02:56:25,2025-09-14 02:56:25,Cancelled
262,294,2025-09-20 02:56:25,2025-09-20 02:56:25,Cancelled
263,406,2025-09-13 02:56:25,2025-09-18 02:56:25,Delivered
264,99,2025-11-10 02:56:25,2025-11-10 02:56:25,Cancelled
265,695,2025-10-24 02:56:25,2025-10-24 02:56:25,Cancelled
266,498,2025-09-13 02:56:25,2025-09-16 02:56:25,Delivered
267,944,2025-10-13 02:56:25,,Pending
268,348,2025-10-14 02:56:25,2025-10-14 02:56:25,Cancelled
269,224,2025-09-18 02:56:25,2025-09-18 02:56:25,Cancelled
270,487,2025-11-07 02:56:25,2025-11-07 02:56:25,Cancelled
271,476,2025-09-14 02:56:25,,Pending
272,198,2025-10-12 02:56:25,2025-10-14 02:56:25,Delivered
273,362,2025-10-21 02:56:25,2025-10-23 02:56:25,Shipped
274,658,2025-10-03 02:56:25,2025-10-06 02:56:25,Delivered
275,739,2025-09-23 02:56:25,2025-09-28 02:56:25,Delivered
276,779,2025-10-09 02:56:25,2025-10-10 02:56:25,Shipped
277,108,2025-10-02 02:56:25,2025-10-02 02:56:25,Cancelled
278,778,2025-10-21 02:56:25,2025-10-24 02:56:25,Shipped
279,364,2025-10-31 02:56:25,2025-10-31 02:56:25,Cancelled
280,773,2025-10-25 02:56:25,,Pending
281,795,2025-10-19 02:56:25,2025-10-21 02:56:25,Delivered
282,802,2025-10-03 02:56:25,2025-10-05 02:56:25,Shipped
283,492,2025-10-09 02:56:25,2025-10-13 02:56:25,Delivered
284,405,2025-10-01 02:56:25,2025-10-05 02:56:25,Delivered
285,147,2025-09-27 02:56:25,2025-09-30 02:56:25,Delivered
286,422,2025-09-19 02:56:25,2025-09-22 02:56:25,Delivered
287,635,2025-10-24 02:56:25,2025-10-25 02:56:25,Shipped
288,731,2025-11-02 02:56:25,2025-11-03 02:56:25,Delivered
289,396,2025-10-11 02:56:25,2025-10-12 02:56:25,Shipped
290,573,2025-10-29 02:56:25,2025-10-29 02:56:25,Cancelled
291,392,2025-10-02 02:56:25,2025-10-03 02:56:25,Delivered
292,12,2025-10-05 02:56:25,2025-10-07 02:56:25,Delivered
293,700,2025-10-15 02:56:25,2025-10-17 02:56:25,Shipped
294,917,2025-10-15 02:56:25,2025-10-17 02:56:25,Shipped
295,801,2025-10-12 02:56:25,,Pending
296,910,2025-10-19 02:56:25,2025-10-21 02:56:25,Delivered
297,862,2025-09-29 02:56:25,,Pending
298,320,2025-10-29 02:56:25,2025-11-02 02:56:25,Delivered
299,588,2025-09-12 02:56:25,2025-09-12 02:56:25,Cancelled
300,679,2025-10-04 02:56:25,2025-10-05 02:56:25,Shipped
301,918,2025-10-31 02:56:25,2025-10-31 02:56:25,Cancelled
302,142,2025-10-29 02:56:25,,Pending
303,472,2025-11-03 02:56:25,2025-11-03 02:56:25,Cancelled
304,92,2025-10-31 02:56:25,,Pending
305,599,2025-09-11 02:56:25,2025-09-14 02:56:25,Shipped
306,441,2025-10-01 02:56:25,,Pending
307,479,2025-09-30 02:56:25,,Pending
308,169,2025-09-23 02:56:25,2025-09-23 02:56:25,Cancelled
309,292,2025-10-18 02:56:25,2025-10-21 02:56:25,Shipped
310,154,2025-11-03 02:56:25,2025-11-03 02:56:25,Cancelled
311,397,2025-09-21 02:56:25,2025-09-26 02:56:25,Delivered
312,359,2025-10-12 02:56:25,2025-10-17 02:56:25,Delivered
313,895,2025-09-27 02:56:25,,Pending
314,790,2025-11-06 02:56:25,,Pending
315,486,2025-10-30 02:56:25,2025-11-01 02:56:25,Shipped
316,516,2025-11-03 02:56:25,2025-11-04 02:56:25,Shipped
317,466,2025-10-20 02:56:25,,Pending
318,420,2025-10-31 02:56:25,,Pending
319,21,2025-10-01 02:56:25,2025-10-01 02:56:25,Cancelled
320,386,2025-10-14 02:56:25,2025-10-14 02:56:25,Cancelled
321,290,2025-09-29 02:56:25,,Pending
322,729,2025-09-30 02:56:25,2025-10-03 02:56:25,Delivered
323,134,2025-10-03 02:56:25,,Pending
324,497,2025-10-08 02:56:25,2025-10-13 02:56:25,Delivered
325,482,2025-10-21 02:56:25,2025-10-21 02:56:25,Cancelled
326,344,2025-09-30 02:56:25,2025-10-03 02:56:25,Shipped
327,436,2025-09-21 02:56:25,2025-09-23 02:56:25,Delivered
328,620,2025-10-12 02:56:25,,Pending
329,365,2025-09-15 02:56:25,2025-09-20 02:56:25,Delivered
330,804,2025-10-28 02:56:25,2025-11-01 02:56:25,Delivered
331,146,2025-10-04 02:56:25,2025-10-04 02:56:25,Cancelled
332,513,2025-10-15 02:56:25,2025-10-15 02:56:25,Cancelled
333,438,2025-10-17 02:56:25,2025-10-17 02:56:25,Cancelled
334,282,2025-09-27 02:56:25,,Pending
335,704,2025-10-13 02:56:25,,Pending
336,621,2025-10-11 02:56:25,2025-10-16 02:56:25,Delivered
337,863,2025-11-02 02:56:25,,Pending
338,510,2025-09-22 02:56:25,2025-09-25 02:56:25,Shipped
339,800,2025-10-20 02:56:25,,Pending
340,565,2025-09-24 02:56:25,,Pending
341,855,2025-09-29 02:56:25,2025-09-29 02:56:25,Cancelled
342,843,2025-10-10 02:56:25,2025-10-10 02:56:25,Cancelled
343,665,2025-10-06 02:56:25,2025-10-09 02:56:25,Shipped
344,907,2025-10-08 02:56:25,2025-10-08 02:56:25,Cancelled
345,434,2025-10-24 02:56:25,2025-10-24 02:56:25,Cancelled
346,407,2025-10-21 02:56:25,2025-10-21 02:56:25,Cancelled
347,837,2025-10-04 02:56:25,2025-10-05 02:56:25,Delivered
348,317,2025-09-10 02:56:25,2025-09-14 02:56:25,Delivered
349,247,2025-09-15 02:56:25,2025-09-19 02:56:25,Delivered
350,505,2025-10-05 02:56:25,,Pending
351,854,2025-09-10 02:56:25,,Pending
352,200,2025-09-10 02:56:25,2025-09-13 02:56:25,Delivered
353,185,2025-09-19 02:56:25,2025-09-19 02:56:25,Cancelled
354,219,2025-10-24 02:56:25,,Pending
355,940,2025-10-12 02:56:25,2025-10-12 02:56:25,Cancelled
356,946,2025-09-25 02:56:25,,Pending
357,752,2025-10-05 02:56:25,2025-10-10 02:56:25,Delivered
358,488,2025-09-13 02:56:25,2025-09-13 02:56:25,Cancelled
359,928,2025-10-05 02:56:25,2025-10-07 02:56:25,Shipped
360,799,2025-09-15 02:56:25,2025-09-17 02:56:25,Shipped
361,900,2025-09-28 02:56:25,2025-09-28 02:56:25,Cancelled
362,452,2025-09-19 02:56:25,,Pending
363,785,2025-09-20 02:56:25,2025-09-23 02:56:25,Shipped
364,276,2025-10-29 02:56:25,2025-11-03 02:56:25,Delivered
365,874,2025-10-25 02:56:25,2025-10-25 02:56:25,Cancelled
366,37,2025-09-24 02:56:25,2025-09-25 02:56:25,Shipped
367,112,2025-10-03 02:56:25,,Pending
368,500,2025-10-20 02:56:25,2025-10-20 02:56:25,Cancelled
369,31,2025-09-13 02:56:25,2025-09-17 02:56:25,Delivered
370,430,2025-09-20 02:56:25,2025-09-20 02:56:25,Cancelled
371,607,2025-10-13 02:56:25,2025-10-13 02:56:25,Cancelled
372,810,2025-09-22 02:56:25,2025-09-24 02:56:25,Shipped
373,904,2025-10-11 02:56:25,2025-10-12 02:56:25,Shipped
374,242,2025-10-20 02:56:25,2025-10-20 02:56:25,Cancelled
375,845,2025-10-13 02:56:25,2025-10-14 02:56:25,Delivered
376,207,2025-09-21 02:56:25,2025-09-26 02:56:25,Delivered
377,737,2025-10-23 02:56:25,2025-10-23 02:56:25,Cancelled
378,745,2025-10-25 02:56:25,2025-10-25 02:56:25,Cancelled
379,733,2025-09-25 02:56:25,2025-09-25 02:56:25,Cancelled
380,807,2025-10-22 02:56:25,2025-10-27 02:56:25,Delivered
381,429,2025-10-18 02:56:25,2025-10-18 02:56:25,Cancelled
382,354,2025-11-07 02:56:25,2025-11-09 02:56:25,Delivered
383,938,2025-10-01 02:56:25,2025-10-01 02:56:25,Cancelled
384,456,2025-10-19 02:56:25,2025-10-19 02:56:25,Cancelled
385,212,2025-10-31 02:56:25,2025-11-04 02:56:25,Delivered
386,559,2025-10-04 02:56:25,2025-10-04 02:56:25,Cancelled
387,760,2025-09-28 02:56:25,2025-09-28 02:56:25,Cancelled
388,791,2025-10-18 02:56:25,2025-10-21 02:56:25,Shipped
389,289,2025-09-12 02:56:25,2025-09-13 02:56:25,Delivered
390,914,2025-10-14 02:56:25,,Pending
391,368,2025-09-14 02:56:25,2025-09-14 02:56:25,Cancelled
392,654,2025-10-01 02:56:25,2025-10-03 02:56:25,Shipped
393,60,2025-10-19 02:56:25,,Pending
394,690,2025-10-23 02:56:25,2025-10-26 02:56:25,Delivered
395,769,2025-10-22 02:56:25,2025-10-22 02:56:25,Cancelled
396,816,2025-10-29 02:56:25,2025-11-03 02:56:25,Delivered
397,562,2025-10-30 02:56:25,2025-11-03 02:56:25,Delivered
398,701,2025-11-09 02:56:25,,Pending
399,158,2025-11-03 02:56:25,,Pending
400,176,2025-09-29 02:56:25,2025-10-01 02:56:25,Delivered
401,616,2025-09-13 02:56:25,2025-09-13 02:56:25,Cancelled
402,827,2025-09-05 02:56:25,,Pending
403,144,2025-10-27 02:56:25,2025-10-30 02:56:25,Shipped
404,536,2025-10-06 02:56:25,,Pending
405,708,2025-09-12 02:56:25,2025-09-13 02:56:25,Delivered
406,215,2025-09-17 02:56:25,2025-09-20 02:56:25,Delivered
407,91,2025-10-15 02:56:25,2025-10-16 02:56:25,Shipped
408,597,2025-09-22 02:56:25,2025-09-22 02:56:25,Cancelled
409,444,2025-09-24 02:56:25,2025-09-25 02:56:25,Shipped
410,603,2025-10-24 02:56:25,,Pending
411,384,2025-09-12 02:56:25,2025-09-12 02:56:25,Cancelled
412,906,2025-10-11 02:56:25,2025-10-13 02:56:25,Shipped
413,71,2025-11-11 02:56:25,2025-11-12 02:56:25,Shipped
414,84,2025-10-20 02:56:25,2025-10-24 02:56:25,Delivered
415,201,2025-09-12 02:56:25,,Pending
416,614,2025-10-30 02:56:25,2025-11-04 02:56:25,Delivered
417,228,2025-09-30 02:56:25,,Pending
418,278,2025-10-16 02:56:25,2025-10-21 02:56:25,Delivered
419,243,2025-10-12 02:56:25,2025-10-12 02:56:25,Cancelled
420,740,2025-09-28 02:56:25,2025-09-28 02:56:25,Cancelled
421,102,2025-10-27 02:56:25,2025-10-29 02:56:25,Shipped
422,768,2025-10-24 02:56:25,,Pending
423,66,2025-09-20 02:56:25,2025-09-20 02:56:25,Cancelled
424,748,2025-11-05 02:56:25,2025-11-10 02:56:25,Delivered
425,598,2025-11-02 02:56:25,2025-11-03 02:56:25,Delivered
426,886,2025-10-29 02:56:25,2025-10-30 02:56:25,Delivered
427,836,2025-09-27 02:56:25,,Pending
428,402,2025-10-21 02:56:25,2025-10-21 02:56:25,Cancelled
429,179,2025-10-31 02:56:25,2025-11-03 02:56:25,Shipped
430,570,2025-10-20 02:56:25,2025-10-23 02:56:25,Shipped
431,755,2025-10-31 02:56:25,2025-11-02 02:56:25,Delivered
432,262,2025-10-23 02:56:25,,Pending
433,735,2025-10-01 02:56:25,2025-10-01 02:56:25,Cancelled
434,672,2025-10-07 02:56:25,2025-10-09 02:56:25,Delivered
435,229,2025-09-28 02:56:25,2025-10-01 02:56:25,Delivered
