inventory_ID,product_ID,quantity_on_hand,quantity_reserved,quantity_available,reorder_level,reorder_quantity,last_restock_date,inventory_status,lot_number,storage_conditions
49,49,85,52,33,72,173,2025-07-15 02:05:23,backordered,LOT-62473,Keep away from sunlight
50,50,462,30,432,31,147,2025-10-31 02:05:23,In Stock,LOT-17810,Keep away from sunlight
51,51,135,116,19,46,158,2024-11-10 02:05:23,backordered,LOT-80132,Humidity controlled
52,52,338,249,89,29,98,2025-06-03 02:05:23,In Stock,LOT-67736,Refrigerated
53,53,495,29,466,84,188,2025-10-01 02:05:23,In Stock,LOT-02606,Room temperature
54,54,29,1,28,84,172,2025-02-17 02:05:23,backordered,LOT-47468,Humidity controlled
55,55,80,7,73,75,70,2025-07-29 02:05:23,backordered,LOT-72343,Cool and dry place
56,56,304,34,270,96,110,2025-04-09 02:05:23,In Stock,LOT-09805,Cool and dry place
57,57,482,455,27,82,113,2025-01-09 02:05:23,backordered,LOT-00978,Humidity controlled
58,58,20,19,1,20,157,2024-11-30 02:05:23,backordered,LOT-82081,Humidity controlled
59,59,289,267,22,50,116,2025-07-20 02:05:23,backordered,LOT-21913,Room temperature
60,60,122,33,89,60,83,2024-11-23 02:05:23,In Stock,LOT-61939,Room temperature
61,61,234,80,154,19,52,2025-03-12 02:05:23,In Stock,LOT-90916,Humidity controlled
62,62,288,51,237,19,187,2025-07-15 02:05:23,In Stock,LOT-99854,Humidity controlled
63,63,135,33,102,54,67,2025-06-29 02:05:23,In Stock,LOT-35346,Room temperature
64,64,145,40,105,66,189,2024-11-06 02:05:23,In Stock,LOT-24751,Room temperature
65,65,313,270,43,11,191,2025-06-01 02:05:23,In Stock,LOT-07991,Cool and dry place
66,66,480,449,31,27,117,2025-09-03 02:05:23,In Stock,LOT-18384,Cool and dry place
67,67,380,283,97,29,119,2025-06-10 02:05:23,In Stock,LOT-25135,Humidity controlled
68,68,107,91,16,53,102,2024-11-15 02:05:23,backordered,LOT-42784,Room temperature
69,69,258,250,8,42,63,2025-09-15 02:05:23,backordered,LOT-98084,Keep away from sunlight
70,70,424,141,283,15,50,2025-05-15 02:05:23,In Stock,LOT-12411,Refrigerated
71,71,326,134,192,30,163,2025-01-23 02:05:23,In Stock,LOT-82449,Keep away from sunlight
72,72,287,4,283,24,69,2024-11-13 02:05:23,In Stock,LOT-35348,Refrigerated
73,73,279,18,261,57,199,2025-01-23 02:05:23,In Stock,LOT-74016,Refrigerated
74,74,220,32,188,15,128,2025-04-29 02:05:23,In Stock,LOT-40052,Cool and dry place
75,75,460,183,277,36,113,2024-11-25 02:05:23,In Stock,LOT-42786,Cool and dry place
76,76,181,143,38,62,89,2025-07-03 02:05:23,backordered,LOT-80112,Refrigerated
77,77,499,409,90,32,155,2025-10-20 02:05:23,In Stock,LOT-80598,Refrigerated
78,78,377,170,207,62,113,2025-06-18 02:05:23,In Stock,LOT-26204,Refrigerated
79,79,403,359,44,23,147,2025-10-13 02:05:23,In Stock,LOT-50533,Keep away from sunlight
80,80,113,25,88,68,139,2025-05-29 02:05:23,In Stock,LOT-15869,Refrigerated
81,81,114,3,111,94,99,2025-04-11 02:05:23,In Stock,LOT-23226,Room temperature
82,82,142,17,125,45,139,2024-12-08 02:05:23,In Stock,LOT-02563,Humidity controlled
83,83,204,173,31,78,134,2025-10-18 02:05:23,backordered,LOT-42160,Cool and dry place
84,84,449,133,316,32,198,2025-06-19 02:05:23,In Stock,LOT-73375,Cool and dry place
85,85,55,38,17,65,138,2025-05-25 02:05:23,backordered,LOT-43303,Keep away from sunlight
86,86,310,261,49,24,148,2025-01-10 02:05:23,In Stock,LOT-65414,Refrigerated
87,87,130,11,119,100,161,2025-11-01 02:05:23,In Stock,LOT-58685,Humidity controlled
88,88,473,412,61,78,100,2025-04-29 02:05:23,backordered,LOT-01429,Keep away from sunlight
89,89,35,21,14,89,130,2024-11-27 02:05:23,backordered,LOT-40196,Cool and dry place
90,90,368,153,215,74,129,2024-11-25 02:05:23,In Stock,LOT-55698,Keep away from sunlight
91,91,167,103,64,99,125,2025-01-22 02:05:23,backordered,LOT-16934,Refrigerated
92,92,98,53,45,95,147,2024-11-20 02:05:23,backordered,LOT-06088,Refrigerated
93,93,315,291,24,48,153,2025-01-25 02:05:23,backordered,LOT-35615,Cool and dry place
94,94,155,73,82,36,160,2025-01-09 02:05:23,In Stock,LOT-95148,Humidity controlled
95,95,335,164,171,69,163,2025-03-20 02:05:23,In Stock,LOT-46564,Refrigerated
96,96,261,242,19,31,71,2025-06-09 02:05:23,backordered,LOT-82366,Humidity controlled
97,97,339,324,15,89,135,2025-09-15 02:05:23,backordered,LOT-29946,Refrigerated
98,98,344,158,186,38,100,2025-08-18 02:05:23,In Stock,LOT-80443,Cool and dry place
99,99,23,7,16,70,68,2025-03-13 02:05:23,backordered,LOT-69957,Keep away from sunlight
100,100,453,322,131,83,99,2024-11-10 02:05:23,In Stock,LOT-77387,Keep away from sunlight
101,101,253,102,151,41,87,2024-12-01 02:05:23,In Stock,LOT-21489,Cool and dry place
102,102,457,384,73,23,158,2025-07-12 02:05:23,In Stock,LOT-51343,Refrigerated
103,103,411,356,55,76,168,2025-10-07 02:05:23,backordered,LOT-32003,Humidity controlled
104,104,127,31,96,68,84,2025-03-09 02:05:23,In Stock,LOT-79176,Humidity controlled
105,105,286,162,124,66,179,2025-03-28 02:05:23,In Stock,LOT-93676,Humidity controlled
106,106,228,40,188,70,165,2025-06-22 02:05:23,In Stock,LOT-32016,Refrigerated
107,107,430,326,104,45,183,2025-02-26 02:05:23,In Stock,LOT-32870,Refrigerated
108,108,140,112,28,19,123,2025-07-04 02:05:23,In Stock,LOT-83172,Room temperature
109,109,171,81,90,79,70,2025-08-23 02:05:23,In Stock,LOT-78895,Refrigerated
110,110,118,49,69,98,89,2024-11-05 02:05:23,backordered,LOT-79868,Refrigerated
111,111,32,26,6,62,134,2025-01-28 02:05:23,backordered,LOT-72774,Keep away from sunlight
112,112,212,15,197,36,157,2025-04-16 02:05:23,In Stock,LOT-34873,Humidity controlled
113,113,484,356,128,12,197,2025-04-21 02:05:23,In Stock,LOT-47143,Keep away from sunlight
114,114,3,2,1,48,149,2025-04-01 02:05:23,backordered,LOT-45581,Humidity controlled
115,115,382,376,6,79,106,2025-02-25 02:05:23,backordered,LOT-22362,Refrigerated
116,116,139,111,28,72,57,2025-04-16 02:05:23,backordered,LOT-31665,Room temperature
117,117,342,207,135,31,169,2025-08-28 02:05:23,In Stock,LOT-87603,Humidity controlled
118,118,273,13,260,60,194,2024-11-27 02:05:23,In Stock,LOT-66909,Cool and dry place
119,119,42,41,1,64,84,2025-03-10 02:05:23,backordered,LOT-67054,Refrigerated
120,120,25,8,17,58,133,2025-07-16 02:05:23,backordered,LOT-66889,Keep away from sunlight
121,121,167,86,81,58,121,2025-03-31 02:05:23,In Stock,LOT-37346,Room temperature
122,122,427,41,386,70,54,2025-01-29 02:05:23,In Stock,LOT-70656,Cool and dry place
123,123,487,179,308,38,67,2024-12-03 02:05:23,In Stock,LOT-27298,Cool and dry place
124,124,386,15,371,41,101,2025-10-22 02:05:23,In Stock,LOT-06990,Humidity controlled
125,125,78,30,48,26,171,2024-11-24 02:05:23,In Stock,LOT-16272,Cool and dry place
126,126,288,111,177,69,115,2025-04-27 02:05:23,In Stock,LOT-04653,Refrigerated
127,127,310,310,0,24,91,2025-05-26 02:05:23,backordered,LOT-75564,Cool and dry place
128,128,296,13,283,49,197,2024-11-20 02:05:23,In Stock,LOT-64170,Keep away from sunlight
129,129,203,183,20,35,69,2025-01-02 02:05:23,backordered,LOT-80531,Refrigerated
130,130,52,44,8,48,80,2025-01-16 02:05:23,backordered,LOT-00330,Cool and dry place
131,131,177,136,41,64,144,2025-09-27 02:05:23,backordered,LOT-92327,Humidity controlled
132,132,331,174,157,11,157,2025-02-24 02:05:23,In Stock,LOT-19374,Cool and dry place
133,133,221,92,129,91,167,2024-11-04 02:05:23,In Stock,LOT-52991,Refrigerated
134,134,222,45,177,76,119,2024-12-21 02:05:23,In Stock,LOT-24190,Humidity controlled
135,135,396,247,149,69,161,2025-01-02 02:05:23,In Stock,LOT-49663,Room temperature
136,136,165,62,103,21,121,2025-03-16 02:05:23,In Stock,LOT-19314,Refrigerated
137,137,384,237,147,82,147,2025-05-13 02:05:23,In Stock,LOT-91905,Cool and dry place
138,138,253,217,36,51,96,2025-02-25 02:05:23,backordered,LOT-86518,Refrigerated
139,139,181,66,115,53,121,2024-12-31 02:05:23,In Stock,LOT-50671,Room temperature
140,140,284,5,279,76,98,2025-09-19 02:05:23,In Stock,LOT-65726,Refrigerated
141,141,368,208,160,72,192,2025-07-01 02:05:23,In Stock,LOT-28498,Keep away from sunlight
142,142,330,251,79,67,54,2025-09-15 02:05:23,In Stock,LOT-77694,Room temperature
143,143,113,51,62,98,112,2025-05-29 02:05:23,backordered,LOT-53147,Humidity controlled
144,144,188,121,67,80,185,2025-05-09 02:05:23,backordered,LOT-37996,Keep away from sunlight
145,145,381,281,100,52,140,2024-11-07 02:05:23,In Stock,LOT-50752,Keep away from sunlight
146,146,138,78,60,42,109,2025-09-01 02:05:23,In Stock,LOT-73545,Refrigerated
147,147,161,30,131,78,97,2025-07-26 02:05:23,In Stock,LOT-49480,Refrigerated
148,148,378,247,131,45,200,2025-02-06 02:05:23,In Stock,LOT-83136,Humidity controlled
149,149,144,25,119,34,125,2025-07-08 02:05:23,In Stock,LOT-78377,Room temperature
150,150,91,38,53,11,186,2025-08-29 02:05:23,In Stock,LOT-70143,Room temperature
151,151,23,1,22,80,124,2024-11-09 02:05:23,backordered,LOT-63495,Refrigerated
152,152,326,251,75,23,53,2025-01-12 02:05:23,In Stock,LOT-78856,Room temperature
153,153,240,122,118,66,137,2025-07-30 02:05:23,In Stock,LOT-85574,Cool and dry place
154,154,129,122,7,24,66,2025-04-10 02:05:23,backordered,LOT-44313,Keep away from sunlight
155,155,37,36,1,90,63,2025-08-16 02:05:23,backordered,LOT-51823,Refrigerated
156,156,415,288,127,48,71,2025-06-27 02:05:23,In Stock,LOT-37498,Cool and dry place
157,157,285,213,72,87,107,2025-02-07 02:05:23,backordered,LOT-94134,Keep away from sunlight
158,158,230,113,117,48,200,2025-03-27 02:05:23,In Stock,LOT-35240,Room temperature
159,159,291,30,261,88,75,2025-07-18 02:05:23,In Stock,LOT-82400,Refrigerated
160,160,135,20,115,30,111,2025-08-05 02:05:23,In Stock,LOT-84271,Humidity controlled
161,161,38,10,28,10,154,2025-03-16 02:05:23,In Stock,LOT-09477,Humidity controlled
162,162,240,74,166,14,109,2025-06-07 02:05:23,In Stock,LOT-75204,Room temperature
163,163,359,232,127,19,109,2025-06-19 02:05:23,In Stock,LOT-71167,Humidity controlled
164,164,338,101,237,64,79,2025-01-27 02:05:23,In Stock,LOT-19022,Refrigerated
165,165,331,76,255,44,86,2025-09-26 02:05:23,In Stock,LOT-94131,Cool and dry place
166,166,84,39,45,86,195,2025-06-07 02:05:23,backordered,LOT-86999,Keep away from sunlight
167,167,63,59,4,98,127,2024-11-08 02:05:23,backordered,LOT-38677,Keep away from sunlight
168,168,482,139,343,74,188,2025-02-22 02:05:23,In Stock,LOT-49649,Keep away from sunlight
169,169,41,38,3,15,160,2025-05-20 02:05:23,backordered,LOT-90913,Humidity controlled
170,170,128,6,122,21,108,2024-11-21 02:05:23,In Stock,LOT-34123,Humidity controlled
171,171,300,10,290,96,118,2025-01-10 02:05:23,In Stock,LOT-28120,Cool and dry place
172,172,390,387,3,32,170,2025-02-09 02:05:23,backordered,LOT-67974,Keep away from sunlight
173,173,469,142,327,33,199,2025-03-23 02:05:23,In Stock,LOT-03447,Keep away from sunlight
174,174,496,46,450,70,139,2025-04-06 02:05:23,In Stock,LOT-13493,Room temperature
175,175,164,26,138,30,134,2025-04-05 02:05:23,In Stock,LOT-61832,Keep away from sunlight
176,176,147,102,45,80,59,2025-03-14 02:05:23,backordered,LOT-42102,Cool and dry place
177,177,161,64,97,51,79,2025-04-09 02:05:23,In Stock,LOT-49947,Humidity controlled
178,178,422,0,422,94,188,2025-03-10 02:05:23,In Stock,LOT-17464,Keep away from sunlight
179,179,27,6,21,76,142,2024-12-18 02:05:23,backordered,LOT-88771,Keep away from sunlight
180,180,320,226,94,16,102,2025-06-18 02:05:23,In Stock,LOT-90659,Humidity controlled
181,181,67,36,31,66,174,2025-08-31 02:05:23,backordered,LOT-40139,Cool and dry place
182,182,498,322,176,87,111,2024-11-03 02:05:23,In Stock,LOT-90490,Refrigerated
183,183,159,141,18,11,191,2025-04-07 02:05:23,In Stock,LOT-27874,Cool and dry place
184,184,115,107,8,24,168,2025-09-02 02:05:23,backordered,LOT-29671,Refrigerated
185,185,255,149,106,75,119,2025-04-03 02:05:23,In Stock,LOT-75655,Keep away from sunlight
186,186,241,62,179,68,191,2025-08-19 02:05:23,In Stock,LOT-12567,Keep away from sunlight
187,187,97,76,21,75,84,2025-09-27 02:05:23,backordered,LOT-46807,Room temperature
188,188,395,212,183,53,179,2025-06-18 02:05:23,In Stock,LOT-15451,Cool and dry place
189,189,144,76,68,85,198,2024-11-29 02:05:23,backordered,LOT-68087,Keep away from sunlight
190,190,443,76,367,67,187,2025-02-27 02:05:23,In Stock,LOT-60385,Room temperature
191,191,170,141,29,79,146,2025-03-13 02:05:23,backordered,LOT-97703,Room temperature
192,192,445,96,349,99,111,2025-01-13 02:05:23,In Stock,LOT-48247,Keep away from sunlight
193,193,119,109,10,62,61,2025-05-23 02:05:23,backordered,LOT-71093,Keep away from sunlight
194,194,361,195,166,59,88,2025-02-21 02:05:23,In Stock,LOT-24808,Cool and dry place
195,195,64,64,0,85,134,2025-09-11 02:05:23,backordered,LOT-61317,Keep away from sunlight
196,196,51,33,18,68,53,2025-08-20 02:05:23,backordered,LOT-12748,Keep away from sunlight
197,197,445,335,110,29,69,2025-03-06 02:05:23,In Stock,LOT-46773,Room temperature
198,198,173,159,14,98,151,2024-12-04 02:05:23,backordered,LOT-78263,Cool and dry place
199,199,436,168,268,96,186,2025-04-21 02:05:23,In Stock,LOT-98214,Room temperature
200,200,320,249,71,79,59,2024-12-20 02:05:23,backordered,LOT-65840,Cool and dry place
201,201,120,80,40,97,123,2025-07-08 02:05:23,backordered,LOT-44997,Cool and dry place
202,202,222,25,197,91,75,2025-03-19 02:05:23,In Stock,LOT-27875,Refrigerated
203,203,355,153,202,13,61,2025-05-19 02:05:23,In Stock,LOT-58867,Cool and dry place
204,204,150,91,59,57,160,2025-08-19 02:05:23,In Stock,LOT-53396,Refrigerated
205,205,271,210,61,82,96,2025-08-06 02:05:23,backordered,LOT-36057,Refrigerated
206,206,40,39,1,58,111,2025-02-20 02:05:23,backordered,LOT-66270,Humidity controlled
207,207,73,29,44,69,115,2025-03-11 02:05:23,backordered,LOT-28951,Room temperature
208,208,341,4,337,69,123,2024-11-20 02:05:23,In Stock,LOT-71870,Humidity controlled
209,209,80,9,71,66,138,2025-01-05 02:05:23,In Stock,LOT-26217,Room temperature
210,210,327,217,110,98,114,2025-03-13 02:05:23,In Stock,LOT-45961,Room temperature
211,211,101,49,52,71,77,2025-07-03 02:05:23,backordered,LOT-58657,Keep away from sunlight
212,212,292,183,109,83,125,2024-11-08 02:05:23,In Stock,LOT-80913,Room temperature
213,213,11,10,1,60,120,2025-10-28 02:05:23,backordered,LOT-43161,Humidity controlled
214,214,442,351,91,16,177,2025-06-08 02:05:23,In Stock,LOT-17240,Refrigerated
215,215,310,180,130,38,98,2024-12-19 02:05:23,In Stock,LOT-05045,Room temperature
216,216,347,337,10,97,85,2024-12-15 02:05:23,backordered,LOT-56238,Cool and dry place
217,217,462,321,141,92,60,2025-05-27 02:05:23,In Stock,LOT-69222,Keep away from sunlight
218,218,17,11,6,26,73,2025-06-03 02:05:23,backordered,LOT-19693,Room temperature
219,219,382,212,170,32,101,2025-08-26 02:05:23,In Stock,LOT-79237,Humidity controlled
220,220,448,187,261,77,178,2025-06-15 02:05:23,In Stock,LOT-47407,Refrigerated
221,221,131,123,8,47,136,2025-09-04 02:05:23,backordered,LOT-48217,Keep away from sunlight
222,222,493,38,455,28,107,2024-11-20 02:05:23,In Stock,LOT-59464,Keep away from sunlight
223,223,495,433,62,81,143,2025-09-16 02:05:23,backordered,LOT-74367,Keep away from sunlight
224,224,7,4,3,78,81,2025-03-14 02:05:23,backordered,LOT-13695,Room temperature
225,225,344,344,0,43,199,2025-04-20 02:05:23,backordered,LOT-94406,Room temperature
226,226,55,43,12,39,170,2025-10-20 02:05:23,backordered,LOT-40909,Humidity controlled
227,227,452,287,165,51,106,2024-12-05 02:05:23,In Stock,LOT-74395,Cool and dry place
228,228,325,237,88,99,127,2024-12-04 02:05:23,backordered,LOT-33942,Keep away from sunlight
229,229,59,8,51,15,59,2025-05-30 02:05:23,In Stock,LOT-10470,Keep away from sunlight
230,230,59,6,53,40,187,2025-08-24 02:05:23,In Stock,LOT-95214,Keep away from sunlight
231,231,232,94,138,95,188,2025-04-01 02:05:23,In Stock,LOT-56232,Humidity controlled
232,232,380,372,8,29,156,2024-12-01 02:05:23,backordered,LOT-85884,Cool and dry place
233,233,426,250,176,88,154,2025-06-11 02:05:23,In Stock,LOT-24745,Cool and dry place
234,234,353,189,164,37,163,2025-03-19 02:05:23,In Stock,LOT-17123,Refrigerated
235,235,437,185,252,22,144,2025-01-27 02:05:23,In Stock,LOT-68516,Room temperature
236,236,31,25,6,45,98,2025-08-31 02:05:23,backordered,LOT-04817,Keep away from sunlight
237,237,46,42,4,37,55,2025-10-07 02:05:23,backordered,LOT-54965,Room temperature
238,238,124,16,108,82,102,2025-09-27 02:05:23,In Stock,LOT-13709,Humidity controlled
239,239,106,75,31,37,109,2025-05-17 02:05:23,backordered,LOT-85931,Refrigerated
240,240,403,305,98,10,120,2025-08-19 02:05:23,In Stock,LOT-74612,Refrigerated
241,241,276,128,148,32,78,2024-11-28 02:05:23,In Stock,LOT-00471,Cool and dry place
242,242,67,1,66,55,110,2025-01-04 02:05:23,In Stock,LOT-13826,Room temperature
243,243,8,2,6,43,63,2025-08-29 02:05:23,backordered,LOT-75869,Keep away from sunlight
244,244,269,58,211,18,171,2025-03-17 02:05:23,In Stock,LOT-26179,Room temperature
245,245,262,55,207,67,178,2025-07-11 02:05:23,In Stock,LOT-64053,Humidity controlled
246,246,22,21,1,76,127,2025-03-12 02:05:23,backordered,LOT-77351,Cool and dry place
247,247,31,30,1,61,159,2024-11-15 02:05:23,backordered,LOT-58506,Cool and dry place
248,248,251,182,69,66,68,2025-09-21 02:05:23,In Stock,LOT-43171,Room temperature
249,249,311,75,236,18,82,2025-06-14 02:05:23,In Stock,LOT-39005,Humidity controlled
250,250,324,299,25,80,133,2025-04-20 02:05:23,backordered,LOT-32931,Humidity controlled
251,251,271,150,121,68,179,2024-12-27 02:05:23,In Stock,LOT-83933,Keep away from sunlight
252,252,50,50,0,99,79,2024-12-01 02:05:23,backordered,LOT-52904,Humidity controlled
253,253,369,110,259,65,165,2025-07-08 02:05:23,In Stock,LOT-22842,Keep away from sunlight
254,254,173,116,57,61,156,2025-09-14 02:05:23,backordered,LOT-10205,Room temperature
255,255,218,80,138,95,115,2025-04-24 02:05:23,In Stock,LOT-39502,Refrigerated
256,256,351,242,109,18,73,2025-09-19 02:05:23,In Stock,LOT-40268,Cool and dry place
257,257,221,24,197,57,83,2025-01-21 02:05:23,In Stock,LOT-11775,Cool and dry place
258,258,300,287,13,81,134,2024-11-23 02:05:23,backordered,LOT-89178,Cool and dry place
259,259,210,90,120,95,158,2025-10-06 02:05:23,In Stock,LOT-39084,Room temperature
260,260,307,159,148,55,76,2025-01-10 02:05:23,In Stock,LOT-70076,Humidity controlled
261,261,108,19,89,94,173,2025-07-10 02:05:23,backordered,LOT-61771,Cool and dry place
262,262,179,142,37,57,79,2025-06-12 02:05:23,backordered,LOT-15921,Humidity controlled
263,263,115,103,12,64,193,2024-12-18 02:05:23,backordered,LOT-24998,Humidity controlled
264,264,345,329,16,81,56,2024-12-25 02:05:23,backordered,LOT-56984,Room temperature
265,265,14,2,12,44,129,2025-05-12 02:05:23,backordered,LOT-78961,Room temperature
266,266,3,1,2,28,194,2024-11-30 02:05:23,backordered,LOT-18367,Keep away from sunlight
267,267,35,9,26,91,57,2025-09-16 02:05:23,backordered,LOT-36576,Humidity controlled
268,268,110,48,62,63,166,2025-05-11 02:05:23,backordered,LOT-61565,Refrigerated
269,269,189,79,110,51,195,2024-12-31 02:05:23,In Stock,LOT-45271,Cool and dry place
270,270,452,26,426,29,90,2024-12-20 02:05:23,In Stock,LOT-11161,Cool and dry place
271,271,345,41,304,44,163,2024-11-28 02:05:23,In Stock,LOT-52809,Keep away from sunlight
272,272,248,155,93,66,156,2025-06-15 02:05:23,In Stock,LOT-88516,Refrigerated
273,273,386,262,124,24,138,2025-03-26 02:05:23,In Stock,LOT-56049,Cool and dry place
274,274,145,124,21,77,128,2025-10-09 02:05:23,backordered,LOT-45198,Refrigerated
275,275,202,153,49,17,51,2025-07-20 02:05:23,In Stock,LOT-32731,Room temperature
276,276,484,108,376,27,115,2025-06-06 02:05:23,In Stock,LOT-58514,Room temperature
277,277,61,0,61,73,160,2025-08-04 02:05:23,backordered,LOT-93689,Refrigerated
278,278,194,136,58,100,108,2025-02-18 02:05:23,backordered,LOT-98094,Humidity controlled
279,279,426,342,84,55,68,2025-04-12 02:05:23,In Stock,LOT-02445,Cool and dry place
280,280,223,4,219,68,69,2025-05-25 02:05:23,In Stock,LOT-50229,Humidity controlled
281,281,219,146,73,61,156,2025-06-06 02:05:23,In Stock,LOT-61201,Cool and dry place
282,282,207,5,202,51,93,2024-12-20 02:05:23,In Stock,LOT-83667,Keep away from sunlight
283,283,425,353,72,56,72,2025-03-23 02:05:23,In Stock,LOT-52545,Cool and dry place
284,284,124,55,69,85,152,2025-02-06 02:05:23,backordered,LOT-99102,Cool and dry place
285,285,202,79,123,53,106,2025-05-15 02:05:23,In Stock,LOT-29014,Refrigerated
286,286,39,32,7,91,79,2025-02-03 02:05:23,backordered,LOT-76797,Humidity controlled
287,287,99,99,0,54,139,2024-12-06 02:05:23,backordered,LOT-64381,Refrigerated
288,288,120,13,107,28,115,2025-07-23 02:05:23,In Stock,LOT-56149,Refrigerated
289,289,308,78,230,93,69,2025-08-03 02:05:23,In Stock,LOT-78403,Keep away from sunlight
290,290,237,193,44,82,198,2025-03-17 02:05:23,backordered,LOT-69003,Humidity controlled
291,291,329,325,4,89,132,2024-12-15 02:05:23,backordered,LOT-43244,Room temperature
292,292,77,56,21,18,170,2025-03-20 02:05:23,In Stock,LOT-51076,Room temperature
293,293,407,140,267,85,64,2025-05-05 02:05:23,In Stock,LOT-22683,Humidity controlled
294,294,37,19,18,69,165,2025-10-13 02:05:23,backordered,LOT-88516,Cool and dry place
295,295,188,73,115,19,73,2024-12-22 02:05:23,In Stock,LOT-06071,Humidity controlled
296,296,259,196,63,69,198,2025-01-22 02:05:23,backordered,LOT-59696,Cool and dry place
297,297,230,207,23,83,98,2025-05-21 02:05:23,backordered,LOT-64160,Humidity controlled
298,298,243,128,115,29,65,2025-03-16 02:05:23,In Stock,LOT-52975,Cool and dry place
